title	release_date	views	downloads	genres	publication_type	interface_languages	voice_languages	tablet	min_hdd_space(Mb)
"warhammer 40000: rogue trader v.1.2.1.17 [gog] (2023)"	"11.10.2024"	"638734"	"186"	"gog, rpg, лицензии, 2023 года"	"цифровая лицензия gog.com"	"русский, deutsch, english, español, français, 中文(简体), 日本語"	"english"	"не требуется (drm-free)"	"40960"
"wartales v.1.0.37335 [gog] (2023)"	"11.10.2024"	"435439"	"81"	"gog, rpg, adventure, лицензии, 2023 года"	"цифровая лицензия gog.com"	"русский, deutsch, english, português do brasil, español, français, polski, 中文(简体)"	"нет"	"не требуется (drm-free)"	"26624"
"bloomtown: a different story v.1.0.15.1 [папка игры] (2024)"	"10.10.2024"	"19517"	"209"	"rpg, adventure, лицензии, 2024 года"	"папка с игрой (steam)"	"русский, английский, французский, немецкий, японский, китайский (упр.), бр. португальский, испанский, корейский"	"нет"	"rune emu + steamless"	"1024"
"enotria: the last song v.1.005.26813 [папка игры] (2024)"	"08.10.2024"	"62377"	"490"	"rpg, action, adventure, лицензии, 2024 года"	"папка с игрой (steam)"	"русский, английский, итальянский, японский, французский, немецкий, испанский, китайский (упр.), китайский (трад.), корейский, польский, бр. португальский, испанский (латиноам.)"	"английский, японский, итальянский"	"rune emu (по умолчанию) / flt"	"13312"
"warhammer 40 000: space marine 2 v.3.1.0.1 [папка игры] (2024)"	"08.10.2024"	"246778"	"1289"	"rpg, 3rd person, action, shooter, adventure, лицензии, 2024 года"	"папка с игрой (steam)"	"русский, украинский, английский, французский, итальянский, немецкий, испанский, чешский, японский, корейский, польский, бр. португальский, китайский (упр.), испанский (латиноам.), китайский (трад.), турецкий, тайский"	"русский, английский, французский, немецкий, испанский, китайский (упр.), японский, польский"	"rune emu + steamless"	"67584"
"metaphor: refantazio"	"07.10.2024"	"2158"	""	"оффлайн, rpg, adventure"	"лицензия"	"русский, английский, multi"	"английский, multi"	"есть активация (взлома нет)"	"95232"
"red solstice 2: survivors v.3.0.12 [архив] (2021)"	"06.10.2024"	"152257"	"239"	"rpg, strategy, лицензии, 2021 года"	"папка установленной игры (steam)"	"русский, английский, немецкий, французский, итальянский, испанский, португальский бразильский, китайский (два варианта), японский, корейский"	"английский"	"codex / fairlight / rune +steamless"	"13312"
"dragon's dogma 2"	"05.10.2024"	"437276"	""	"оффлайн, rpg, action"	""	"русский, английский, multi"	"английский, японский"	"есть активация (взлома нет)"	"61440"
"final fantasy 16 (xvi)"	"05.10.2024"	"22908"	""	"оффлайн, rpg, action"	"лицензия"	"русский, английский, multi"	"английский, multi"	"есть активация (взлома нет)"	"174080"
"elden ring: deluxe edition [v 1.15_reg.v.1.15 + dlc] (2022) repack от decepticon"	"04.10.2024"	"906896"	"1382"	"decepticon, rpg, 3rd person, action, 2022 года"	"repack"	"русский / английский / multi"	"английский"	"rune / codex"	"70656"
"atomic heart - premium edition + 4 dlc"	"04.10.2024"	"33152"	""	"оффлайн, rpg, action, 1st person, adventure"	"лицензия"	"русский, английский, португальский"	"русский, английский"	"есть активация"	"81920"
"last epoch v.1.1.7.5 [папка игры] (2024)"	"04.10.2024"	"848510"	"566"	"rpg, action, adventure, лицензии"	"папка с игрой (steam)"	"русский, английский, французский, немецкий, корейский, польский, бр. португальский, китайский (упр.), испанский"	"английский"	"rune emu"	"23552"
"wartales v.1.0.37335 [папка игры] (2023)"	"03.10.2024"	"670221"	"473"	"rpg, strategy, adventure, лицензии, 2023 года"	"папка установленной игры (steam)"	"русский, английский, французский, немецкий, испанский, польский, португальский бразильский, китайский"	"нет"	"rune"	"39936"
"remnant ii v.446 618 [папка игры] (2023)"	"03.10.2024"	"915343"	"726"	"rpg, 3rd person, action, adventure, лицензии, 2023 года"	"папка установленной игры (steam)"	"русский, английский, французский, итальянский, немецкий, испанский, китайский, японский, корейский, португальский бразильский"	"русский, английский, французский, итальянский, немецкий, испанский, китайский"	"codex emu (по умолчанию) / flt / rune + steamless"	"89088"
"warhammer 40000: rogue trader v.1.2.1.12 [папка игры] (2023)"	"03.10.2024"	"331316"	"1065"	"rpg, 2023 года"	"папка установленной игры (steam)"	"русский, английский, французский, немецкий, испанский, китайский, японский"	"английский"	"rune emu"	"37888"
"baldur's gate iii v.4.1.1.5970269 [папка игры] (2023)"	"03.10.2024"	"782846"	"1947"	"rpg, лицензии, 2023 года"	"папка установленной игры (steam)"	"русский, украинский, английский, немецкий, французский, итальянский, испанский латиноамериканский, польский, португальский (бразилия), турецкий, японский, корейский, китайский (два варианта)"	"english"	"rune emu"	"151552"
"elden ring v.1.15/1.15 [папка игры] (2022)"	"03.10.2024"	"1105118"	"998"	"rpg, 3rd person, action, лицензии, 2022 года"	"папка установленной игры (steam)"	"русский, английский, немецкий, французский, итальянский, испанский (+ латиноамериканский), португальский бразильский, польский, тайский, японский, корейский, китайский (два варианта)"	"английский"	"rune / codex"	"68608"
"songs of conquest v.1.3.2 [папка игры] (2024)"	"01.10.2024"	"236476"	"586"	"rpg, strategy, лицензии, 2024 года"	"папка установленной игры (steam)"	"русский, украинский, английский, +11"	"английский"	"rune emu"	"3072"
"cyberpunk 2077 [v 2.13 + dlcs] (2020) repack от decepticon"	"01.10.2024"	"579777"	"5781"	"decepticon, rpg, action, shooter, 1st person, racing, 2020 года"	"repack"	"русский / английский / multi"	"русский / английский"	"drm-free"	"100352"
"rogue waters v.1.0.0.3149 [папка игры] (2024)"	"01.10.2024"	"17131"	"867"	"rpg, action, strategy, adventure, лицензии, 2024 года"	"папка с игрой (steam)"	"русский, английский, французский, немецкий, испанский, японский, корейский, польский, китайский (упр.), китайский (трад.), итальянский, бр. португальский"	"английский"	"rune emu"	"6144"
"achilles: legends untold [v 1.5.0.3.gog|rev.35236] (2023) repack от decepticon"	"01.10.2024"	"180518"	"468"	"decepticon, rpg, action, 2023 года"	"repack"	"русский / украинский / английский / multi"	"английский"	"drm-free"	"19456"
