title,release_date,views,downloads,genre_rpg,genre_2018_года,genre_3rd_person,genre_gog,genre_2019_года,genre_decepticon,genre_2017_года,genre_adventure,genre_horror,genre_2021_года,genre_3d,genre_vr_игры,genre_оффлайн,genre_2013_года,genre_racing,genre_simulation,genre_action,genre_simulator,genre_arcade,genre_quest,genre_1st_person,genre_2012_года,genre_торрент_игры,genre_stealth,genre_strategy,genre_2016_года,genre_2022_года,genre_2014_года,genre_shooter,genre_2015_года,genre_fighting,genre_2023_года,genre_2024_года,genre_real-time,genre_лицензии,genre_2020_года,publication_type_codex,publication_type_skidrow,publication_type_cpy,publication_type_plaza,publication_type_prophet,publication_type_xatab,publication_type_gog,publication_type_origin,publication_type_uplay,publication_type_steam,publication_type_license,publication_type_repack,publication_type_rip,publication_type_folder,publication_type_archive,interface_language_arab,interface_language_chinese,interface_language_spanish,interface_language_portuguese,interface_language_german,interface_language_russian,interface_language_english,interface_language_french,interface_language_italian,interface_language_japanese,interface_language_korean,interface_language_polish,interface_language_ukrainian,interface_language_czech,interface_language_norwegian,interface_language_turkish,interface_language_hungarian,interface_language_thai,interface_language_danish,interface_language_indonesian,interface_language_romanian,interface_language_swedish,interface_language_dutch,interface_language_slovak,interface_language_catalan,voice_language_arab,voice_language_chinese,voice_language_spanish,voice_language_portuguese,voice_language_german,voice_language_russian,voice_language_english,voice_language_french,voice_language_italian,voice_language_japanese,voice_language_korean,voice_language_polish,voice_language_ukrainian,voice_language_czech,voice_language_turkish,voice_language_hungarian,voice_language_thai,voice_language_danish,voice_language_no_translation,tablet_codex,tablet_empress,tablet_goldberg,tablet_darksiders,tablet_3dm,tablet_rune,tablet_skidrow,tablet_reloaded,tablet_fairlight,tablet_tenoke,tablet_origin,tablet_gog,tablet_none,min_hdd_space_Mb
warhammer 40000: rogue trader v.1.2.1.17 [gog] (2023),1728594000,638734,186,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40960
wartales v.1.0.37335 [gog] (2023),1728594000,435439,81,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26624
bloomtown: a different story v.1.0.15.1 [папка игры] (2024),1728507600,19517,209,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1024
enotria: the last song v.1.005.26813 [папка игры] (2024),1728334800,62377,490,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13312
warhammer 40 000: space marine 2 v.3.1.0.1 [папка игры] (2024),1728334800,246778,1289,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67584
red solstice 2: survivors v.3.0.12 [архив] (2021),1728162000,152257,239,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13312
elden ring: deluxe edition [v 1.15_reg.v.1.15 + dlc] (2022) repack от decepticon,1727989200,906896,1382,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,70656
last epoch v.1.1.7.5 [папка игры] (2024),1727989200,848510,566,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23552
wartales v.1.0.37335 [папка игры] (2023),1727902800,670221,473,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,39936
remnant ii v.446 618 [папка игры] (2023),1727902800,915343,726,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,89088
