Название игры	Истинные значения	Предсказанные значения	Отношение
the last faith (2023)	37706	13988	2.6955962253360024
legacy of kain: defiance v1.1 hotfix [gog] (2003)	10010	11732	1.172027972027972
enslaved: odyssey to the west premium edition [v1.0 + 4 dlc] (2013) pc | repack от xatab	72160	61544	1.1724944754972053
dead or alive 5: last round [v 1.10c + 73 dlc] (2015) pc | repack от xatab	69671	42815	1.6272568025224805
the free ones (2018) pc | лицензия	52135	40291	1.29396143059244
the ascent [папка игры] (2021)	93000	32472	2.8640059127864004
black geyser: couriers of darkness v1.2.42 [gog] (2022)	38388	27117	1.4156433233764798
devil's hunt (2019)  repack от	69203	48762	1.4191993765637176
blackguards special edition v1.6 [gog] (2014)	17124	17172	1.002803083391731
evil inside [portable] (2021) pc | лицензия	23410	33686	1.4389577103801794
the temple of elemental evil v1.0 [gog] (2003)	7832	16227	2.0718845760980593
eldest souls [gog] (2021)	36938	22735	1.6247195953375853
112 operator [папка игры] (2020) pc | лицензия	18102	29528	1.6312009722682577
final fantasy ii [папка игры] (1988-2021)	11345	22150	1.9524019391802556
wall world v1.0.1.226 [gog] (2023)	49186	19721	2.4940925916535672
kôna (2017) pc | лицензия	56600	23975	2.3607924921793533
ghoul (2018) pc | лицензия	38168	46330	1.2138440578495076
punch club 2: fast forward v.1.101 [папка игры] (2023)	57994	22789	2.5448242573171265
fallout 3 game of the year edition (2008-2009) pc | лицензия	52835	43220	1.2224664507172605
siege survival: gloria victis [gog] (2021) pc | лицензия	81701	29055	2.811942866976424
rogue legacy [gog] (eng/rus/multi8) от r.g. gogfan	20389	38657	1.8959733189464907
halo infinite [папка игры] (2021)	42868	24600	1.7426016260162602
ghostrunner: complete edition [v 42507.446 + dlcs] (2020) repack от decepticon	55041	33116	1.662066674719169
factorio v.2.0.9 [папка игры (steam)] (2020)	44405	38443	1.1550867518143746
huntdown v.1.227 (47023) [gog] (2020) pc | лицензия	45956	15679	2.93105427642069
heroes of might and magic 5 [gog] (2006)	38717	21333	1.8148877326208221
ark: survival evolved (2017) pc | лицензия	33411	44425	1.32965191104726
subnautica: below zero (2021) pc | лицензия	69674	30175	2.308997514498757
internet cafe simulator 2 (2022)	64241	30692	2.09308614622703
рхл 13 / rhl 13 (2013) pc | repack by xatab	50079	49574	1.010186791463267
land of the dead: road to fiddler's green v.1.1 [1с] (2005) pc | лицензия	66941	35172	1.9032469009439328
arcrunner (2023)	15878	20452	1.288071545534702
wild hearts (2023)	32908	26707	1.232186318193732
deliver us the moon [1.4.2a-rc-3 (37763)] (2019) pc | repack от	52951	42644	1.241698714942313
amok runner (2022) pc | лицензия	29406	28211	1.0423593633688986
syrian warfare [portable] (2017) pc | лицензия	19767	32762	1.6574088126675772
f.e.a.r. (2005-2007) pc | лицензия	77701	44887	1.731035711898768
banner saga v2.60.02 [gog] (2014)	10158	21429	2.109568812758417
star wars: republic commando [gog] (2005) pc | лицензия	52850	38548	1.3710179516447027
bus simulator 18	60654	51307	1.1821778704660182
space hulk: deathwing - enhanced edition [v 2.44 + dlc] (2018) pc | repack by xatab	93047	65892	1.412113761913434
tainted grail: conquest [gog] (2021)	69812	26297	2.654751492565692
wolfenstein: the old blood [gog] (2015) pc | лицензия	33269	21467	1.5497740718311828
surviving the aftermath (2021)	60099	33035	1.8192523081580143
tower of time [gog] (2018) pc | лицензия	97056	26270	3.694556528359345
wolfenstein: the new order [gog] (2014) pc | лицензия	56076	21458	2.61329108024979
weird west [gog] (2022)	37493	16171	2.3185331766742934
naruto shippuden: ultimate ninja storm revolution [update 2] (2014) рс | repack от xatab	78206	54589	1.4326329480298228
base one [gog] (2021) pc | лицензия	30257	22570	1.3405848471422241
ruined king: a league of legends story [gog] (2021) pc | лицензия	54148	22162	2.4432812923021388
galactic civilizations iii ultimate edition v4.51.364586 [gog] (2015)	16206	22875	1.4115142539800074
naruto shippuden: ultimate ninja storm 2  (2017) pc | repack от xatab	97059	55870	1.737229282262395
dust: an elysian tail v.1.0 (20823) [gog] (2013)	14935	23326	1.5618346166722463
black the fall (2017) pc | repack by xatab	46451	52002	1.119502271210523
windblown v.0.1.0 [папка игры] (early access)	11905	21586	1.813187736245275
binary domain v.1.0.0.1 [steam-rip] (2012) pc | лицензия	50544	35659	1.4174261757200146
what happened	30186	37217	1.2329225468760352
pharaoh: a new era v.1.5 [gog] (1999-2023)	54537	14780	3.689918809201624
strategic mind the pacific (2019)  repack от xatab	36591	45667	1.2480391353064961
driver: parallel lines v1.0 [gog] (2007)	15177	11986	1.2662272651426665
sleeping dogs definitive edition v. 1.0 (45681) [gog] (2014)	61812	21443	2.882619036515413
transformers: devastation (2015) pc | repack от xatab	30041	44115	1.46849305948537
disintegration	53224	35608	1.4947202875758256
weird west (2022)	47859	25172	1.9012791991101223
bus driver simulator 2019 (2019) repack от xatab	84033	58551	1.4352103294563714
encased: a sci-fi post-apocalyptic rpg	51904	47237	1.0987996697504074
ys viii: lacrimosa of dana [gog] (2018)	25138	11522	2.181739281374761
ghost trick: phantom detective [build 11038113 + dlc] (2023) pc | repack от decepticon	7268	17937	2.467941662080352
scrapland remastered v.1.1 / 1.6.1 (52159) [gog] (2021)	19798	19879	1.0040913223557935
sniper: ghost warrior - contracts (2019) pc | лицензия	25693	41826	1.6279142178803565
have a nice death (2023)	31579	17160	1.8402680652680652
outlast v.1.0a (47147) [gog] (2013)	89913	19527	4.604547549546782
fable anniversary (2014) pc | лицензия	49012	29600	1.6558108108108107
the council - complete season (episode 1-5) (2018)  repack от xatab	67668	52683	1.2844371049484653
car mechanic simulator 2015: gold edition [v 1.1.6.0 + 12 dlc] (2015) pc | repack от xatab	55597	39343	1.4131357547721324
x-blades (ониблэйд) [l] (2007-2009) pc | лицензия	33062	46605	1.4096243421450607
need for speed: most wanted - black edition (2005) pc | repack от decepticon	66031	31530	2.094227719632096
into the breach [gog] (2018) pc | лицензия	46215	18120	2.5504966887417218
payday 2 v.1.143.228 [архив] (2013)	41742	37097	1.1252122813165486
heroes of might and magic 2 gold v.1.01 (2.1) (33438) [gog] (1996)	16469	13329	1.2355765623827744
postal 2 v.5024 (38436) [gog] (2003)	33513	18064	1.8552369353410096
soulstice deluxe edition (2022)	40441	16483	2.4534975429230115
tangledeep v1.53a [gog] (2017)	5821	22784	3.914104105823742
emergency 2017 (2016) pc | repack от xatab	21194	41825	1.9734358780787016
terraformers v.1.4.6 [gog] (2023)	54202	28737	1.8861398197445802
coffee talk v1.45 [gog] (2020)	9438	32749	3.4699088789997883
thalassa: edge of the abyss v.1.0.0-012215 [папка игры] (2024)	62126	40471	1.53507449778854
hazel sky (2022)	19145	17762	1.077862853282288
1953: kgb unleashed (фобос 1953) (2010) pc | лицензия	67821	35194	1.927061430925726
call of juarez gunslinger (2013) pc | repack от xatab	93350	62284	1.4987797829298055
crimson snow [portable] pc | лицензия	15207	23578	1.5504701782074044
this is the police v1.1.3.0 [gog] (2016)	13547	17559	1.2961541300656971
timeflow – time and money simulator (early access) pc | лицензия	85001	40801	2.083306781696527
lego star wars iii: the clone wars v.1.0 (16810) [gog] (2011)	25435	12987	1.9584969584969585
orange cast: sci-fi space action game [папка игры] (2021)	27531	18023	1.5275481329412417
mortal shell [gog] (2020)	77153	33225	2.3221369450714824
heroes of might and magic v1.2 (1.1) [gog] (1996)	12523	13329	1.0643615747025472
venetica gold edition v1.0.3 [gog] (2009)	14729	11949	1.2326554523391078
half-life [portable] (1998-2001)	24598	44123	1.7937637206276933
the saboteur (2009) pc | лицензия	86077	45874	1.8763787766490823
black future '88 (2019) pc | лицензия	43266	22361	1.9348866329770582
alien breed: impact [gog] (2010) pc | лицензия	6145	17857	2.905939788445891
gods will fall valiant edition [gog] (2021)	22227	18896	1.1762806943268416
the dark pictures anthology: little hope (2020) pc | лицензия	80187	37030	2.1654604374831217
the crown of wu (2023)	13797	20808	1.5081539465101108
sunblaze v1.1.2.016 [gog] (2021)	11728	17887	1.5251534788540246
hedon bloodrite [gog] (2021) pc | лицензия	33633	21273	1.5810181920744606
age of wonders: planetfall [gog] (2019)	30177	28691	1.0517932452685512
