Название игры	Истинные значения	Предсказанные значения	Отношение
the last faith (2023)	37706	20501	1.8392273547631823
legacy of kain: defiance v1.1 hotfix [gog] (2003)	10010	14185	1.4170829170829171
enslaved: odyssey to the west premium edition [v1.0 + 4 dlc] (2013) pc | repack от xatab	72160	61544	1.1724944754972053
dead or alive 5: last round [v 1.10c + 73 dlc] (2015) pc | repack от xatab	69671	42815	1.6272568025224805
the free ones (2018) pc | лицензия	52135	40291	1.29396143059244
black geyser: couriers of darkness v1.2.42 [gog] (2022)	38388	27117	1.4156433233764798
devil's hunt (2019)  repack от	69203	48762	1.4191993765637176
blackguards special edition v1.6 [gog] (2014)	17124	24290	1.4184769913571595
evil inside [portable] (2021) pc | лицензия	23410	33686	1.4389577103801794
eldest souls [gog] (2021)	36938	22735	1.6247195953375853
112 operator [папка игры] (2020) pc | лицензия	18102	29528	1.6312009722682577
final fantasy ii [папка игры] (1988-2021)	11345	23057	2.0323490524460115
wall world v1.0.1.226 [gog] (2023)	49186	20229	2.4314597854565227
kôna (2017) pc | лицензия	56600	23176	2.442181567138419
ghoul (2018) pc | лицензия	38168	41891	1.0975424439320898
punch club 2: fast forward v.1.101 [папка игры] (2023)	57994	23916	2.4249038300719183
fallout 3 game of the year edition (2008-2009) pc | лицензия	52835	41312	1.2789262199845082
siege survival: gloria victis [gog] (2021) pc | лицензия	81701	27397	2.982114830090886
rogue legacy [gog] (eng/rus/multi8) от r.g. gogfan	20389	38657	1.8959733189464907
halo infinite [папка игры] (2021)	42868	32565	1.3163826193766313
ghostrunner: complete edition [v 42507.446 + dlcs] (2020) repack от decepticon	55041	32172	1.7108355091383811
factorio v.2.0.9 [папка игры (steam)] (2020)	44405	38443	1.1550867518143746
huntdown v.1.227 (47023) [gog] (2020) pc | лицензия	45956	25127	1.8289489393879095
heroes of might and magic 5 [gog] (2006)	38717	22861	1.6935829578758586
ark: survival evolved (2017) pc | лицензия	33411	43020	1.287599892251055
subnautica: below zero (2021) pc | лицензия	69674	30175	2.308997514498757
internet cafe simulator 2 (2022)	64241	30692	2.09308614622703
рхл 13 / rhl 13 (2013) pc | repack by xatab	50079	49574	1.010186791463267
land of the dead: road to fiddler's green v.1.1 [1с] (2005) pc | лицензия	66941	35172	1.9032469009439328
arcrunner (2023)	15878	22610	1.423982869379015
wild hearts (2023)	32908	27853	1.1814885290632966
deliver us the moon [1.4.2a-rc-3 (37763)] (2019) pc | repack от	52951	42644	1.241698714942313
amok runner (2022) pc | лицензия	29406	31673	1.0770931102496089
syrian warfare [portable] (2017) pc | лицензия	19767	32762	1.6574088126675772
f.e.a.r. (2005-2007) pc | лицензия	77701	44887	1.731035711898768
banner saga v2.60.02 [gog] (2014)	10158	23601	2.3233904311872418
star wars: republic commando [gog] (2005) pc | лицензия	52850	28199	1.8741799354587043
bus simulator 18	60654	51307	1.1821778704660182
space hulk: deathwing - enhanced edition [v 2.44 + dlc] (2018) pc | repack by xatab	93047	65892	1.412113761913434
tainted grail: conquest [gog] (2021)	69812	25177	2.772848234499742
wolfenstein: the old blood [gog] (2015) pc | лицензия	33269	23577	1.4110785935445562
surviving the aftermath (2021)	60099	33035	1.8192523081580143
tower of time [gog] (2018) pc | лицензия	97056	26270	3.694556528359345
wolfenstein: the new order [gog] (2014) pc | лицензия	56076	21594	2.596832453459294
weird west [gog] (2022)	37493	16561	2.2639333373588553
naruto shippuden: ultimate ninja storm revolution [update 2] (2014) рс | repack от xatab	78206	54589	1.4326329480298228
base one [gog] (2021) pc | лицензия	30257	24680	1.2259724473257698
ruined king: a league of legends story [gog] (2021) pc | лицензия	54148	20162	2.685646265251463
galactic civilizations iii ultimate edition v4.51.364586 [gog] (2015)	16206	21837	1.3474639022584227
naruto shippuden: ultimate ninja storm 2  (2017) pc | repack от xatab	97059	55870	1.737229282262395
dust: an elysian tail v.1.0 (20823) [gog] (2013)	14935	26137	1.7500502176096417
black the fall (2017) pc | repack by xatab	46451	52002	1.119502271210523
windblown v.0.1.0 [папка игры] (early access)	11905	24533	2.060730785384292
binary domain v.1.0.0.1 [steam-rip] (2012) pc | лицензия	50544	35659	1.4174261757200146
what happened	30186	37217	1.2329225468760352
pharaoh: a new era v.1.5 [gog] (1999-2023)	54537	18632	2.927060970373551
strategic mind the pacific (2019)  repack от xatab	36591	45667	1.2480391353064961
driver: parallel lines v1.0 [gog] (2007)	15177	14885	1.019617064158549
sleeping dogs definitive edition v. 1.0 (45681) [gog] (2014)	61812	22622	2.7323844045619308
transformers: devastation (2015) pc | repack от xatab	30041	44115	1.46849305948537
disintegration	53224	35608	1.4947202875758256
weird west (2022)	47859	25483	1.8780755797982969
bus driver simulator 2019 (2019) repack от xatab	84033	58551	1.4352103294563714
encased: a sci-fi post-apocalyptic rpg	51904	47237	1.0987996697504074
ys viii: lacrimosa of dana [gog] (2018)	25138	17520	1.4348173515981735
scrapland remastered v.1.1 / 1.6.1 (52159) [gog] (2021)	19798	19879	1.0040913223557935
sniper: ghost warrior - contracts (2019) pc | лицензия	25693	41826	1.6279142178803565
have a nice death (2023)	31579	16358	1.930492725272038
outlast v.1.0a (47147) [gog] (2013)	89913	23131	3.887121179369677
fable anniversary (2014) pc | лицензия	49012	29600	1.6558108108108107
the council - complete season (episode 1-5) (2018)  repack от xatab	67668	52683	1.2844371049484653
car mechanic simulator 2015: gold edition [v 1.1.6.0 + 12 dlc] (2015) pc | repack от xatab	55597	39343	1.4131357547721324
x-blades (ониблэйд) [l] (2007-2009) pc | лицензия	33062	41412	1.252555804246567
need for speed: most wanted - black edition (2005) pc | repack от decepticon	66031	31374	2.104640785363677
into the breach [gog] (2018) pc | лицензия	46215	18331	2.521139054061426
payday 2 v.1.143.228 [архив] (2013)	41742	33707	1.2383777850298157
heroes of might and magic 2 gold v.1.01 (2.1) (33438) [gog] (1996)	16469	16510	1.0024895257756998
postal 2 v.5024 (38436) [gog] (2003)	33513	15506	2.161292402940797
soulstice deluxe edition (2022)	40441	22377	1.8072574518478794
emergency 2017 (2016) pc | repack от xatab	21194	41825	1.9734358780787016
terraformers v.1.4.6 [gog] (2023)	54202	28737	1.8861398197445802
coffee talk v1.45 [gog] (2020)	9438	28969	3.069400296673024
thalassa: edge of the abyss v.1.0.0-012215 [папка игры] (2024)	62126	40471	1.53507449778854
hazel sky (2022)	19145	21841	1.1408200574562548
1953: kgb unleashed (фобос 1953) (2010) pc | лицензия	67821	35194	1.927061430925726
call of juarez gunslinger (2013) pc | repack от xatab	93350	62284	1.4987797829298055
crimson snow [portable] pc | лицензия	15207	22242	1.4626159005721049
this is the police v1.1.3.0 [gog] (2016)	13547	18817	1.3890160183066362
timeflow – time and money simulator (early access) pc | лицензия	85001	43034	1.9752056513454477
lego star wars iii: the clone wars v.1.0 (16810) [gog] (2011)	25435	14006	1.816007425389119
orange cast: sci-fi space action game [папка игры] (2021)	27531	22359	1.2313162484905407
