Название игры	Истинные значения	Предсказанные значения	Отношение
the last faith (2023)	37706	26033	1.4483924249990396
legacy of kain: defiance v1.1 hotfix [gog] (2003)	10010	21949	2.1927072927072926
enslaved: odyssey to the west premium edition [v1.0 + 4 dlc] (2013) pc | repack от xatab	72160	61544	1.1724944754972053
dead or alive 5: last round [v 1.10c + 73 dlc] (2015) pc | repack от xatab	69671	47337	1.471808521875066
the free ones (2018) pc | лицензия	52135	22667	2.3000397052984516
the ascent [папка игры] (2021)	93000	25727	3.6148793096746608
black geyser: couriers of darkness v1.2.42 [gog] (2022)	38388	21748	1.7651278278462388
devil's hunt (2019)  repack от	69203	47391	1.4602561667827225
blackguards special edition v1.6 [gog] (2014)	17124	23332	1.3625321186638635
evil inside [portable] (2021) pc | лицензия	23410	29206	1.2475865014950875
the temple of elemental evil v1.0 [gog] (2003)	7832	21420	2.734933605720123
eldest souls [gog] (2021)	36938	22025	1.677094211123723
112 operator [папка игры] (2020) pc | лицензия	18102	34703	1.9170809855264612
final fantasy ii [папка игры] (1988-2021)	11345	25870	2.2802996914940503
wall world v1.0.1.226 [gog] (2023)	49186	21782	2.258103020842898
kôna (2017) pc | лицензия	56600	19276	2.9362938368956213
ghoul (2018) pc | лицензия	38168	44644	1.1696709285265143
punch club 2: fast forward v.1.101 [папка игры] (2023)	57994	24351	2.3815859718286725
fallout 3 game of the year edition (2008-2009) pc | лицензия	52835	42134	1.2539754117814592
siege survival: gloria victis [gog] (2021) pc | лицензия	81701	22499	3.631316947419885
rogue legacy [gog] (eng/rus/multi8) от r.g. gogfan	20389	41773	2.0488008239737114
halo infinite [папка игры] (2021)	42868	29815	1.4377997652188497
ghostrunner: complete edition [v 42507.446 + dlcs] (2020) repack от decepticon	55041	31158	1.7665126131330637
factorio v.2.0.9 [папка игры (steam)] (2020)	44405	36173	1.2275730517236614
huntdown v.1.227 (47023) [gog] (2020) pc | лицензия	45956	20052	2.291841212846599
heroes of might and magic 5 [gog] (2006)	38717	24902	1.5547747168902095
ark: survival evolved (2017) pc | лицензия	33411	46082	1.3792463559905421
subnautica: below zero (2021) pc | лицензия	69674	32343	2.154221933648703
internet cafe simulator 2 (2022)	64241	30464	2.10875131302521
рхл 13 / rhl 13 (2013) pc | repack by xatab	50079	48476	1.0330679098935556
land of the dead: road to fiddler's green v.1.1 [1с] (2005) pc | лицензия	66941	35344	1.8939848347668629
arcrunner (2023)	15878	20879	1.3149641012722004
wild hearts (2023)	32908	21771	1.511552064673189
deliver us the moon [1.4.2a-rc-3 (37763)] (2019) pc | repack от	52951	40116	1.319947153255559
amok runner (2022) pc | лицензия	29406	23996	1.225454242373729
syrian warfare [portable] (2017) pc | лицензия	19767	32762	1.6574088126675772
f.e.a.r. (2005-2007) pc | лицензия	77701	43754	1.7758604927549482
banner saga v2.60.02 [gog] (2014)	10158	24052	2.367788934829691
star wars: republic commando [gog] (2005) pc | лицензия	52850	23814	2.2192827748383306
bus simulator 18	60654	50256	1.2069006685768864
space hulk: deathwing - enhanced edition [v 2.44 + dlc] (2018) pc | repack by xatab	93047	53207	1.7487736576014434
tainted grail: conquest [gog] (2021)	69812	23423	2.9804892626905177
wolfenstein: the old blood [gog] (2015) pc | лицензия	33269	26599	1.2507613068160457
surviving the aftermath (2021)	60099	27007	2.2253119561595143
tower of time [gog] (2018) pc | лицензия	97056	24767	3.9187628699479147
wolfenstein: the new order [gog] (2014) pc | лицензия	56076	18750	2.99072
weird west [gog] (2022)	37493	21979	1.7058555894262706
