Название игры	Истинные значения	Предсказанные значения	Отношение
the last faith (2023)	37706	26819	1.405943547484992
legacy of kain: defiance v1.1 hotfix [gog] (2003)	10010	23893	2.386913086913087
enslaved: odyssey to the west premium edition [v1.0 + 4 dlc] (2013) pc | repack от xatab	72160	61544	1.1724944754972053
dead or alive 5: last round [v 1.10c + 73 dlc] (2015) pc | repack от xatab	69671	47337	1.471808521875066
the free ones (2018) pc | лицензия	52135	22667	2.3000397052984516
black geyser: couriers of darkness v1.2.42 [gog] (2022)	38388	23792	1.613483523873571
devil's hunt (2019)  repack от	69203	47818	1.4472165293404158
blackguards special edition v1.6 [gog] (2014)	17124	26462	1.545316514832983
evil inside [portable] (2021) pc | лицензия	23410	30039	1.2831695856471594
eldest souls [gog] (2021)	36938	24382	1.5149700598802396
112 operator [папка игры] (2020) pc | лицензия	18102	33260	1.8373660369019997
final fantasy ii [папка игры] (1988-2021)	11345	28222	2.487615689731159
wall world v1.0.1.226 [gog] (2023)	49186	22510	2.18507330075522
kôna (2017) pc | лицензия	56600	17684	3.2006333408731056
ghoul (2018) pc | лицензия	38168	44644	1.1696709285265143
punch club 2: fast forward v.1.101 [папка игры] (2023)	57994	24716	2.3464152775530023
fallout 3 game of the year edition (2008-2009) pc | лицензия	52835	40171	1.31525229643275
siege survival: gloria victis [gog] (2021) pc | лицензия	81701	24113	3.3882552979720484
rogue legacy [gog] (eng/rus/multi8) от r.g. gogfan	20389	41773	2.0488008239737114
halo infinite [папка игры] (2021)	42868	31662	1.3539258417029878
ghostrunner: complete edition [v 42507.446 + dlcs] (2020) repack от decepticon	55041	31158	1.7665126131330637
factorio v.2.0.9 [папка игры (steam)] (2020)	44405	35237	1.2601810596815848
huntdown v.1.227 (47023) [gog] (2020) pc | лицензия	45956	23175	1.9829989212513484
heroes of might and magic 5 [gog] (2006)	38717	26333	1.470284433980177
ark: survival evolved (2017) pc | лицензия	33411	43751	1.3094789141300769
subnautica: below zero (2021) pc | лицензия	69674	33329	2.090491763929311
internet cafe simulator 2 (2022)	64241	31473	2.0411463794363423
рхл 13 / rhl 13 (2013) pc | repack by xatab	50079	48476	1.0330679098935556
land of the dead: road to fiddler's green v.1.1 [1с] (2005) pc | лицензия	66941	33907	1.9742531040788038
arcrunner (2023)	15878	23459	1.477453079732964
wild hearts (2023)	32908	22696	1.449947127247092
deliver us the moon [1.4.2a-rc-3 (37763)] (2019) pc | repack от	52951	41111	1.288000778380482
amok runner (2022) pc | лицензия	29406	26023	1.1300003842754487
syrian warfare [portable] (2017) pc | лицензия	19767	32762	1.6574088126675772
f.e.a.r. (2005-2007) pc | лицензия	77701	41312	1.8808336560805576
banner saga v2.60.02 [gog] (2014)	10158	27199	2.6775940145697974
star wars: republic commando [gog] (2005) pc | лицензия	52850	26030	2.0303495966192853
bus simulator 18	60654	50256	1.2069006685768864
space hulk: deathwing - enhanced edition [v 2.44 + dlc] (2018) pc | repack by xatab	93047	53207	1.7487736576014434
tainted grail: conquest [gog] (2021)	69812	25732	2.7130421265350537
wolfenstein: the old blood [gog] (2015) pc | лицензия	33269	24508	1.3574751101681084
surviving the aftermath (2021)	60099	27628	2.175293180831041
tower of time [gog] (2018) pc | лицензия	97056	26482	3.6649799864058608
wolfenstein: the new order [gog] (2014) pc | лицензия	56076	19627	2.857084628318133
weird west [gog] (2022)	37493	24110	1.5550808793031936
