adduser 3.134
alsa-topology-conf 1.2.5.1-2
alsa-ucm-conf 1.2.8-1
amd64-microcode 3.20240820.1~deb12u1
anacron 2.3-36
apparmor 3.0.8-3
apt 2.6.1
apt-listchanges 3.24
apt-utils 2.6.1
aspell 0.60.8-4+b1
aspell-ru 0.99g5-29
autoconf 2.71-3
automake 1:1.16.5-1.3
autopoint 0.21-12
autotools-dev 20220109.1
avahi-autoipd 0.8-10
base-files 12.4+deb12u7
base-passwd 3.6.1
bash 5.2.15-2+b7
bash-completion 1:2.11-6
bind9-dnsutils 1:9.18.28-1~deb12u2
bind9-host 1:9.18.28-1~deb12u2
bind9-libs:amd64 1:9.18.28-1~deb12u2
binutils 2.40-2
binutils-common:amd64 2.40-2
binutils-x86-64-linux-gnu 2.40-2
bluetooth 5.66-1+deb12u2
bluez 5.66-1+deb12u2
bsdextrautils 2.38.1-5+deb12u1
bsdutils 1:2.38.1-5+deb12u1
build-essential 12.9
busybox 1:1.35.0-4+b3
bzip2 1.0.8-5+b1
ca-certificates 20230311
console-setup 1.221
console-setup-linux 1.221
coreutils 9.1-1
cpio 2.13+dfsg-7.1
cpp 4:12.2.0-3
cpp-12 12.2.0-14+deb12u1
cron 3.0pl1-162
cron-daemon-common 3.0pl1-162
dash 0.5.12-2
dbus 1.14.10-1~deb12u1
dbus-bin 1.14.10-1~deb12u1
dbus-daemon 1.14.10-1~deb12u1
dbus-session-bus-common 1.14.10-1~deb12u1
dbus-system-bus-common 1.14.10-1~deb12u1
dbus-user-session 1.14.10-1~deb12u1
debconf 1.5.82
debconf-i18n 1.5.82
debhelper 13.11.4
debian-archive-keyring 2023.3+deb12u1
debian-faq 11.1
debianutils 5.7-0.5~deb12u1
dh-autoreconf 20
dh-strip-nondeterminism 1.13.1-1
dictionaries-common 1.29.5
diffutils 1:3.8-4
dirmngr 2.2.40-1.1+deb12u1
discover 2.1.2-10
discover-data 2.2013.01.13
distro-info-data 0.58+deb12u2
dmidecode 3.4-1
dmsetup 2:1.02.185-2
doc-debian 11.3+nmu1
dpkg 1.21.22
dpkg-dev 1.21.22
dwz 0.15-1
e2fsprogs 1.47.0-2
eject 2.38.1-5+deb12u1
emacsen-common 3.0.5
fakeroot 1.31-1.2
fdisk 2.38.1-5+deb12u1
file 1:5.44-3
findutils 4.9.0-4
firmware-linux-free 20200122-1
fontconfig-config 2.14.1-4
fonts-dejavu-core 2.37-6
g++ 4:12.2.0-3
g++-12 12.2.0-14+deb12u1
gcc 4:12.2.0-3
gcc-12 12.2.0-14+deb12u1
gcc-12-base:amd64 12.2.0-14+deb12u1
gettext 0.21-12
gettext-base 0.21-12
gnupg 2.2.40-1.1+deb12u1
gnupg-l10n 2.2.40-1.1+deb12u1
gnupg-utils 2.2.40-1.1+deb12u1
gpg 2.2.40-1.1+deb12u1
gpg-agent 2.2.40-1.1+deb12u1
gpg-wks-client 2.2.40-1.1+deb12u1
gpg-wks-server 2.2.40-1.1+deb12u1
gpgconf 2.2.40-1.1+deb12u1
gpgsm 2.2.40-1.1+deb12u1
gpgv 2.2.40-1.1+deb12u1
grep 3.8-5
groff-base 1.22.4-10
grub-common 2.06-13+deb12u1
grub-pc 2.06-13+deb12u1
grub-pc-bin 2.06-13+deb12u1
grub2-common 2.06-13+deb12u1
gzip 1.12-1
hostname 3.23+nmu1
ifupdown 0.8.41
inetutils-telnet 2:2.4-2+deb12u1
init 1.65.2
init-system-helpers 1.65.2
initramfs-tools 0.142+deb12u1
initramfs-tools-core 0.142+deb12u1
installation-report 2.89
intltool-debian 0.35.0+20060710.6
iproute2 6.1.0-3
iputils-ping 3:20221126-1
irussian 0.99g5-29
isc-dhcp-client 4.4.3-P1-2
isc-dhcp-common 4.4.3-P1-2
iso-codes 4.15.0-1
ispell 3.4.05-1
iw 5.19-1
kbd 2.5.1-1+b1
keyboard-configuration 1.221
klibc-utils 2.0.12-1
kmod 30+20221128-1
konwert 1.8-13.2
konwert-filters 1.8-13.2
krb5-locales 1.20.1-2+deb12u2
laptop-detect 0.16
less 590-2.1~deb12u2
libabsl20220623:amd64 20220623.1-1+deb12u2
libacl1:amd64 2.3.1-3
libalgorithm-diff-perl 1.201-1
libalgorithm-diff-xs-perl:amd64 0.04-8+b1
libalgorithm-merge-perl 0.08-5
libaom3:amd64 3.6.0-1+deb12u2
